,title,price,area_in_sqft,location
0,"121 Sq. Yards Open Plots for Sale  in Manneguda, Hyderabad","<span class=""pro-rice"">₹ 6.05 Lac</span>",1089 sq.ft (121 Sq. Yards),Freehold
1,"146.6 Sq. Yards Land  in Keshampet, Hyderabad","<span class=""pro-rice"">₹ 9 Lac</span>",1319 sq.ft (146.6 Sq. Yards),Freehold
2,"150 Sq. Yards Land for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">₹ 6.75 Lac</span>",1350 sq.ft (150 Sq. Yards),Freehold
3,"1 BHK 242 Sq. Yards Farm House for Sale in Patancheru, Hyderabad","<span class=""pro-rice"">₹ 7.50 Lac</span>",2178 sq.ft (242 Sq. Yards),Freehold
4,"121 Sq. Yards Lands for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">₹ 5.44 Lac</span>",1089 sq.ft (121 Sq. Yards),Freehold
5,"121 Sq. Yards Land for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">₹ 8.47 Lac</span>",1089 sq.ft (121 Sq. Yards),"Shadnagar, Hyderabad"
6,"120 Sq. Yards Plot  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),"Aleru, Hyderabad"
7,"147 Sq.ft. Land  in Saidabad, Hyderabad","<span class=""pro-rice"">₹ 9.56 Lac</span>",147 sq.ft,Freehold
8,"605 Sq. Yards Land  in S D Road, Hyderabad","<span class=""pro-rice"">₹ 5 Lac</span>",5445 sq.ft (605 Sq. Yards),"S D Road, Hyderabad"
9,"150 Sq. Yards Lands for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">₹ 8 Lac</span>",1350 sq.ft (150 Sq. Yards),Freehold
10,"100 Sq. Yards Lands  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),"Shadnagar, Hyderabad"
11," 87 Sq. Yards Residential Land / Plots for Sale in Kothur, Hyderabad","<span class=""pro-rice"">₹ 6.09 Lac</span>",783 sq.ft (87 Sq. Yards),Freehold
12,"151.5 Sq. Yards Plot  in Madhapur, Hyderabad","<span class=""pro-rice"">₹ 10 Lac</span>",1363 sq.ft (151.5 Sq. Yards),Freehold
13,"120 Sq. Yards Residential Plots  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">₹ 9.60 Lac</span>",1080 sq.ft (120 Sq. Yards),Freehold
14,"151 Sq. Yards Plots for Sale  in Madhapur, Hyderabad","<span class=""pro-rice"">₹ 10 Lac</span>",1359 sq.ft (151 Sq. Yards),"Madhapur, Hyderabad"
15,"1 BHK 350 Sq.ft. Builder Floor for Sale in Pragathi Nagar, Hyderabad","<span class=""pro-rice"">₹ 9 Lac</span>",350 sq.ft,1
16,"160 Sq. Yards Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">₹ 10 Lac</span>",1440 sq.ft (160 Sq. Yards),"Shadnagar, Hyderabad"
17,"1 RK 139 Sq. Yards Farm House for Sale in Toli Chowki, Hyderabad","<span class=""pro-rice"">₹ 9 Lac</span>",1251 sq.ft (139 Sq. Yards),"Toli Chowki, Hyderabad"
18,120 Sq. Yards Open Plots for Sale  in Hyderabad,"<span class=""pro-rice"">₹ 6 Lac</span>",1080 sq.ft (120 Sq. Yards),"Pochannapet, Hyderabad, Hyderabad"
19,"100 Sq. Yards Land  in Chotuppal, Hyderabad","<span class=""pro-rice"">₹ 6.50 Lac</span>",900 sq.ft (100 Sq. Yards),"Chotuppal, Hyderabad"
20,"121 Sq. Yards Plot  in Miyapur, Hyderabad","<span class=""pro-rice"">₹ 5 Lac</span>",1089 sq.ft (121 Sq. Yards),"Miyapur, Hyderabad"
21,"180 Sq. Yards Lands  in Kongarkalan, Hyderabad","<span class=""pro-rice"">₹ 5.04 Lac</span>",1620 sq.ft (180 Sq. Yards),Freehold
22,"200 Sq. Yards Plots  in Vijayawada Highway, Hyderabad","<span class=""pro-rice"">₹ 5 Lac</span>",1800 sq.ft (200 Sq. Yards),"Vijayawada Highway, Hyderabad"
23,"146.6 Sq. Yards Lands for Sale  in Kadthal, Hyderabad","<span class=""pro-rice"">₹ 9.53 Lac</span>",1319 sq.ft (146.6 Sq. Yards),"Kadthal, Hyderabad"
24,"167 Sq. Yards Lands for Sale  in Bibi Nagar, Hyderabad","<span class=""pro-rice"">₹ 7.52 Lac</span>",1503 sq.ft (167 Sq. Yards),Freehold
25,"133 Sq. Yards Open Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">₹ 6.50 Lac</span>",1197 sq.ft (133 Sq. Yards),"Shadnagar, Hyderabad"
26,"147 Sq. Yards Land for Sale  in Kadthal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Kadthal, Hyderabad"
27,"1810 Sq.ft. Land  in Gandi Maisamma, Hyderabad","<span class=""pro-rice"">₹ 9 Lac</span>",1810 sq.ft,"Gandi Maisamma, Hyderabad"
28,"165 Sq. Yards Plot for Sale  in Amangal, Hyderabad","<span class=""pro-rice"">₹ 10 Lac</span>",1485 sq.ft (165 Sq. Yards),"Amangal, Hyderabad"
